,요일,피해운전자 성별,연령대,주간야간,가을,겨울,봄,여름,교차로 ,기타 ,단일로 ,미분류 ,주차장 ,기타,승용,승합,이륜,특수차,피해운전자 상해정도
0,0,0.0,50,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,경상
1,0,0.0,70,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,사망
2,0,0.0,50,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,중상
3,0,0.0,60,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,중상
4,0,0.0,80,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,경상
5,0,1.0,40,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,중상
6,0,1.0,50,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,중상
7,0,1.0,80,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,중상
8,0,1.0,50,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,경상
9,0,0.0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,부상신고
10,0,0.0,60,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,중상
11,1,0.0,20,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,경상
12,0,0.0,30,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,경상
13,0,1.0,80,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,중상
14,0,0.0,60,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,사망
15,1,0.0,50,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,중상
16,0,1.0,70,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,사망
17,0,1.0,50,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,중상
18,0,0.0,40,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,중상
19,0,0.0,50,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,경상
20,0,0.0,20,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,중상
21,0,1.0,50,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,중상
22,0,1.0,40,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,중상
23,0,0.0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,중상
24,0,1.0,50,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,중상
25,0,1.0,10,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,경상
26,0,1.0,60,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,사망
27,0,1.0,50,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,경상
28,0,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,중상
29,0,1.0,50,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,중상
30,0,1.0,60,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,중상
31,0,1.0,60,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,중상
32,0,0.0,20,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,경상
33,0,0.0,20,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,경상
34,0,1.0,40,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,중상
35,0,0.0,40,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,중상
36,0,0.0,60,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,중상
37,1,0.0,10,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,중상
38,0,0.0,20,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,중상
39,0,1.0,20,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,경상
40,0,0.0,40,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,중상
41,0,1.0,20,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,경상
42,0,1.0,10,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,중상
43,0,0.0,50,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,부상신고
44,0,0.0,30,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,중상
45,1,0.0,50,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,사망
46,1,1.0,80,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,중상
47,0,1.0,70,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,중상
48,0,0.0,10,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,경상
49,1,0.0,50,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,중상
50,1,0.0,50,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,중상
51,0,0.0,90,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,중상
52,0,1.0,70,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,중상
53,0,0.0,30,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,중상
54,1,0.0,10,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,중상
55,1,0.0,40,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,중상
56,0,0.0,10,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,중상
57,0,1.0,40,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,중상
58,0,1.0,50,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,사망
59,1,0.0,40,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,경상
60,1,1.0,40,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,중상
61,1,0.0,50,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,경상
62,0,0.0,50,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,경상
63,0,0.0,40,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,중상
64,0,0.0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,부상신고
65,0,1.0,10,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,경상
66,0,0.0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,중상
67,0,1.0,50,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,중상
68,1,0.0,40,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,중상
69,0,1.0,60,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,중상
70,1,0.0,10,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,경상
71,0,0.0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,경상
72,0,0.0,70,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,중상
73,0,0.0,10,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,중상
74,0,0.0,40,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,중상
75,1,1.0,60,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,사망
76,1,1.0,70,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,중상
77,0,0.0,50,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,경상
78,0,0.0,40,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,중상
79,0,1.0,70,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,사망
80,0,0.0,30,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,경상
81,0,0.0,60,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,중상
82,0,0.0,40,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,중상
83,0,0.0,50,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,경상
84,0,0.0,40,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,경상
85,0,1.0,20,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,중상
86,0,0.0,70,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,경상
87,1,0.0,20,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,중상
88,1,1.0,10,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,경상
89,0,0.0,50,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,경상
90,0,1.0,10,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,경상
91,1,1.0,60,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,경상
92,0,0.0,10,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,경상
93,0,1.0,30,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,중상
94,1,0.0,60,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,사망
95,0,0.0,80,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,사망
96,0,0.0,20,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,중상
97,0,0.0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,경상
98,0,1.0,70,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,중상
99,0,0.0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,경상
100,0,0.0,30,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,중상
101,1,0.0,30,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,중상
102,0,0.0,30,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,중상
103,0,0.0,20,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,중상
104,0,0.0,30,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,중상
105,1,1.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,경상
106,0,0.0,40,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,중상
107,0,0.0,50,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,중상
108,0,0.0,30,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,중상
109,0,0.0,40,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,부상신고
110,0,1.0,60,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,중상
111,0,0.0,40,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,중상
112,0,0.0,40,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,부상신고
113,0,0.0,70,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,중상
114,0,0.0,60,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,사망
115,0,1.0,50,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,경상
116,0,0.0,40,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,중상
117,0,1.0,70,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,중상
118,1,0.0,40,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,경상
119,0,1.0,20,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,중상
120,0,0.0,50,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,경상
121,0,1.0,60,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,중상
122,0,1.0,30,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,중상
123,1,0.0,50,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,중상
124,0,0.0,50,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,중상
125,0,1.0,60,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,중상
126,1,1.0,10,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,경상
127,1,1.0,50,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,중상
128,0,0.0,10,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,경상
129,0,0.0,50,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,중상
130,1,1.0,60,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,중상
131,0,0.0,50,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,중상
132,0,0.0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,중상
133,0,0.0,40,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,중상
134,0,0.0,50,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,부상신고
135,0,1.0,40,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,중상
136,1,0.0,20,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,중상
137,0,0.0,40,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,중상
138,0,0.0,10,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,중상
139,0,0.0,40,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,사망
140,0,1.0,50,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,중상
141,0,1.0,70,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,경상
142,1,1.0,70,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,경상
143,1,1.0,40,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,경상
144,1,0.0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,경상
145,0,0.0,60,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,경상
146,0,0.0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,경상
147,1,1.0,20,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,중상
148,0,0.0,10,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,경상
149,0,1.0,60,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,사망
